Date ,Time,Site_Name,Cond_uS_cm,nLF_Cond_uS_cm,ODO_percent_sat,ODO_percent_cb,ODO_mg_L,Sal_psu,SpCond_uS_cm,TDS_mg_L,Turbidity_NTU,TSS_mg_L,Temp_celcius,pH,Turbidity_FNU,Notes
4/12/2024,19:00:00,Pond 27,447.90,485.20,111.30,112.60,9.85,0.23,482.00,313.00,4.17,0.00,21.30,na,na,
4/12/2024,20:00:00,Pond 27,448.70,485.60,107.50,108.70,9.51,0.23,482.40,314.00,3.26,0.00,21.34,na,na,
4/12/2024,21:00:00,Pond 27,448.40,485.60,98.70,99.80,8.73,0.23,482.40,314.00,2.36,0.00,21.32,na,na,
4/12/2024,22:00:00,Pond 27,448.00,485.80,95.80,96.90,8.48,0.23,482.50,314.00,1.78,0.00,21.26,na,na,
4/12/2024,23:00:00,Pond 27,448.90,486.10,90.10,91.10,7.97,0.23,482.80,314.00,1.19,0.00,21.32,na,na,
4/13/2024,0:00:00,Pond 27,448.90,484.30,99.70,100.80,8.79,0.23,481.20,313.00,1.00,0.00,21.48,na,na,
4/13/2024,1:00:00,Pond 27,446.10,484.20,99.10,100.30,8.79,0.23,480.90,313.00,1.03,0.00,21.21,na,na,
4/13/2024,2:00:00,Pond 27,443.10,484.00,97.30,98.50,8.68,0.23,480.40,312.00,0.88,0.00,20.93,na,na,
4/13/2024,3:00:00,Pond 27,440.90,484.40,94.20,95.20,8.44,0.23,480.60,312.00,0.87,0.00,20.67,na,na,
4/13/2024,4:00:00,Pond 27,439.40,485.00,89.30,90.30,8.03,0.23,481.10,313.00,0.74,0.00,20.47,na,na,
4/13/2024,5:00:00,Pond 27,438.20,485.70,85.20,86.20,7.70,0.23,481.70,313.00,1.05,0.00,20.28,na,na,
4/13/2024,6:00:00,Pond 27,437.00,486.50,77.20,78.10,7.00,0.23,482.30,313.00,0.72,0.00,20.08,na,na,
4/13/2024,7:00:00,Pond 27,435.30,487.00,70.40,71.20,6.41,0.23,482.60,314.00,1.33,0.00,19.87,na,na,
4/13/2024,8:00:00,Pond 27,434.30,487.00,66.00,66.80,6.02,0.23,482.60,314.00,0.89,0.00,19.76,na,na,
4/13/2024,9:00:00,Pond 27,432.60,486.20,70.50,71.30,6.45,0.23,481.70,313.00,7.61,0.00,19.67,na,na,
4/13/2024,10:00:00,Pond 27,433.30,486.10,70.20,71.00,6.40,0.23,481.60,313.00,2.02,0.00,19.74,na,na,
4/13/2024,11:00:00,Pond 27,436.30,486.90,64.90,65.70,5.90,0.23,482.60,314.00,3.32,0.00,19.98,na,na,
4/13/2024,12:00:00,Pond 27,439.90,486.30,74.70,75.60,6.73,0.23,482.30,314.00,0.61,0.00,20.40,na,na,
4/13/2024,13:00:00,Pond 27,444.30,485.90,93.10,94.20,8.31,0.23,482.30,313.00,0.58,0.00,20.88,na,na,
4/13/2024,14:00:00,Pond 27,449.30,485.20,99.20,100.30,8.76,0.23,482.00,313.00,0.59,0.00,21.45,na,na,
4/13/2024,15:00:00,Pond 27,454.10,484.40,111.80,113.10,9.76,0.23,481.70,313.00,0.95,0.00,22.00,na,na,
4/13/2024,16:00:00,Pond 27,457.50,483.90,114.00,115.30,9.88,0.23,481.50,313.00,0.53,0.00,22.39,na,na,
4/13/2024,17:00:00,Pond 27,462.70,484.10,118.40,119.80,10.17,0.23,482.20,313.00,0.39,0.00,22.88,na,na,
4/13/2024,18:00:00,Pond 27,465.70,484.50,112.40,113.70,9.60,0.23,482.80,314.00,0.38,0.00,23.14,na,na,
4/13/2024,19:00:00,Pond 27,466.60,483.90,118.00,119.30,10.05,0.23,482.30,314.00,0.35,0.00,23.29,na,na,
4/13/2024,20:00:00,Pond 27,470.30,484.60,117.10,118.50,9.92,0.23,483.30,314.00,0.40,0.00,23.59,na,na,
4/13/2024,21:00:00,Pond 27,471.10,485.20,117.10,118.40,9.92,0.23,484.00,315.00,0.39,0.00,23.61,na,na,
4/13/2024,22:00:00,Pond 27,468.20,484.30,119.70,121.10,10.18,0.23,482.80,314.00,0.45,0.00,23.42,na,na,
4/13/2024,23:00:00,Pond 27,465.10,484.60,117.30,118.60,10.03,0.23,482.80,314.00,0.39,0.00,23.08,na,na,
4/14/2024,0:00:00,Pond 27,462.40,485.20,113.00,114.30,9.72,0.23,483.20,314.00,0.33,0.00,22.75,na,na,
4/14/2024,1:00:00,Pond 27,459.90,485.90,108.00,109.20,9.35,0.23,483.60,314.00,0.92,0.00,22.44,na,na,
4/14/2024,2:00:00,Pond 27,457.80,486.80,100.70,101.90,8.77,0.23,484.20,315.00,0.37,0.00,22.14,na,na,
4/14/2024,3:00:00,Pond 27,455.80,487.70,92.50,93.50,8.10,0.23,484.90,315.00,0.50,0.00,21.86,na,na,
4/14/2024,4:00:00,Pond 27,454.20,488.60,85.00,86.00,7.48,0.23,485.50,316.00,0.43,0.00,21.63,na,na,
4/14/2024,5:00:00,Pond 27,452.90,489.40,76.90,77.70,6.79,0.23,486.20,316.00,0.46,0.00,21.41,na,na,
4/14/2024,6:00:00,Pond 27,451.30,489.90,70.10,70.90,6.22,0.23,486.50,316.00,0.58,0.00,21.21,na,na,
4/14/2024,7:00:00,Pond 27,449.80,490.40,63.30,64.00,5.63,0.23,486.90,316.00,0.77,0.00,21.02,na,na,
4/14/2024,8:00:00,Pond 27,448.40,490.50,58.50,59.10,5.22,0.23,486.90,316.00,0.55,0.00,20.87,na,na,
4/14/2024,9:00:00,Pond 27,448.00,490.90,52.60,53.20,4.70,0.24,487.10,317.00,0.64,0.00,20.79,na,na,
4/14/2024,10:00:00,Pond 27,448.10,490.80,53.20,53.80,4.76,0.24,487.10,317.00,0.62,0.00,20.81,na,na,
4/14/2024,11:00:00,Pond 27,449.30,490.60,56.20,56.90,5.01,0.23,487.00,317.00,0.79,0.00,20.95,na,na,
4/14/2024,12:00:00,Pond 27,453.40,491.10,55.80,56.40,4.94,0.24,487.80,317.00,0.52,0.00,21.30,na,na,
4/14/2024,13:00:00,Pond 27,457.60,490.50,72.40,73.20,6.35,0.23,487.60,317.00,0.41,0.00,21.77,na,na,
4/14/2024,14:00:00,Pond 27,462.10,489.60,90.00,91.00,7.81,0.23,487.20,317.00,0.39,0.00,22.30,na,na,
4/14/2024,15:00:00,Pond 27,466.60,489.30,100.80,101.90,8.67,0.23,487.20,317.00,0.45,0.00,22.78,na,na,
4/14/2024,16:00:00,Pond 27,470.20,488.00,123.20,124.60,10.50,0.23,486.40,316.00,0.32,0.00,23.26,na,na,
4/14/2024,17:00:00,Pond 27,472.90,487.80,124.60,126.10,10.57,0.23,486.40,316.00,0.32,0.00,23.55,na,na,
4/14/2024,18:00:00,Pond 27,474.30,487.80,126.20,127.70,10.67,0.23,486.50,316.00,0.27,0.00,23.69,na,na,
4/14/2024,19:00:00,Pond 27,475.90,487.30,126.10,127.50,10.62,0.23,486.20,316.00,0.24,0.00,23.89,na,na,
4/14/2024,20:00:00,Pond 27,477.00,488.60,109.00,110.30,9.19,0.23,487.50,317.00,0.19,0.00,23.87,na,na,
4/14/2024,21:00:00,Pond 27,478.10,489.20,101.50,102.60,8.54,0.23,488.10,317.00,0.22,0.00,23.93,na,na,
4/14/2024,22:00:00,Pond 27,479.90,489.80,89.30,90.30,7.50,0.23,488.90,318.00,0.28,0.00,24.04,na,na,
4/14/2024,23:00:00,Pond 27,480.70,489.80,85.10,86.10,7.14,0.23,488.90,318.00,0.20,0.00,24.12,na,na,
4/15/2024,0:00:00,Pond 27,484.00,490.70,86.60,87.60,7.23,0.24,490.10,319.00,0.33,0.00,24.35,na,na,
4/15/2024,1:00:00,Pond 27,482.00,491.30,90.60,91.60,7.60,0.24,490.40,319.00,0.30,0.00,24.10,na,na,
4/15/2024,2:00:00,Pond 27,479.40,489.50,92.80,93.80,7.80,0.23,488.50,318.00,0.33,0.00,24.02,na,na,
4/15/2024,3:00:00,Pond 27,479.30,491.20,91.90,92.90,7.74,0.24,490.10,319.00,0.44,0.00,23.84,na,na,
4/15/2024,4:00:00,Pond 27,477.10,491.60,88.00,89.00,7.45,0.24,490.30,319.00,0.71,0.00,23.59,na,na,
4/15/2024,5:00:00,Pond 27,475.30,492.10,83.90,84.80,7.14,0.24,490.60,319.00,0.82,0.00,23.37,na,na,
4/15/2024,6:00:00,Pond 27,474.00,492.50,79.10,80.00,6.75,0.24,490.80,319.00,1.31,0.00,23.21,na,na,
4/15/2024,7:00:00,Pond 27,472.80,492.90,75.00,75.90,6.42,0.24,491.10,319.00,0.56,0.00,23.05,na,na,
4/15/2024,8:00:00,Pond 27,472.20,493.40,70.40,71.20,6.04,0.24,491.50,319.00,0.30,0.00,22.94,na,na,
4/15/2024,9:00:00,Pond 27,472.10,493.80,64.90,65.70,5.57,0.24,491.90,320.00,0.56,0.00,22.89,na,na,
4/15/2024,10:00:00,Pond 27,472.60,494.90,56.70,57.30,4.87,0.24,492.90,320.00,0.42,0.00,22.85,na,na,
4/15/2024,11:00:00,Pond 27,472.80,495.00,57.40,58.00,4.93,0.24,493.00,320.00,0.93,0.00,22.85,na,na,
4/15/2024,12:00:00,Pond 27,456.60,498.50,70.10,70.90,6.25,0.24,494.80,322.00,5.90,0.00,20.95,na,na,
4/15/2024,13:00:00,Pond 27,450.50,499.20,77.90,78.80,7.03,0.24,495.00,322.00,5.01,0.00,20.29,na,na,
4/15/2024,14:00:00,Pond 27,449.00,499.40,79.50,80.40,7.20,0.24,495.10,322.00,4.71,0.00,20.13,na,na,
4/15/2024,15:00:00,Pond 27,449.30,499.30,81.60,82.50,7.38,0.24,495.00,322.00,4.70,0.00,20.17,na,na,
4/15/2024,16:00:00,Pond 27,453.40,499.30,80.50,81.40,7.23,0.24,495.30,322.00,2.57,0.00,20.57,na,na,
4/15/2024,17:00:00,Pond 27,456.70,498.80,78.60,79.50,7.00,0.24,495.10,322.00,2.09,0.00,20.93,na,na,
4/15/2024,18:00:00,Pond 27,458.80,498.60,79.60,80.50,7.07,0.24,495.10,322.00,1.77,0.00,21.16,na,na,
4/15/2024,19:00:00,Pond 27,460.80,498.50,76.40,77.30,6.76,0.24,495.20,322.00,1.61,0.00,21.37,na,na,
4/15/2024,20:00:00,Pond 27,461.00,498.70,72.80,73.70,6.44,0.24,495.40,322.00,1.35,0.00,21.37,na,na,
4/15/2024,21:00:00,Pond 27,464.70,498.30,66.80,67.60,5.86,0.24,495.30,322.00,1.23,0.00,21.76,na,na,
4/15/2024,22:00:00,Pond 27,463.30,499.40,65.00,65.70,5.72,0.24,496.20,323.00,1.64,0.00,21.53,na,na,
4/15/2024,23:00:00,Pond 27,462.70,499.50,57.90,58.50,5.11,0.24,496.20,323.00,1.01,0.00,21.46,na,na,
4/16/2024,0:00:00,Pond 27,465.60,499.20,63.50,64.20,5.57,0.24,496.20,323.00,1.11,0.00,21.77,na,na,
4/16/2024,1:00:00,Pond 27,466.30,498.80,60.20,60.90,5.27,0.24,496.00,322.00,0.85,0.00,21.86,na,na,
4/16/2024,2:00:00,Pond 27,466.10,499.00,54.30,55.00,4.76,0.24,496.10,322.00,0.75,0.00,21.84,na,na,
4/16/2024,3:00:00,Pond 27,466.00,499.10,49.50,50.00,4.34,0.24,496.20,323.00,0.58,0.00,21.82,na,na,
4/16/2024,4:00:00,Pond 27,466.70,498.70,55.40,56.00,4.85,0.24,495.90,322.00,0.58,0.00,21.92,na,na,
4/16/2024,5:00:00,Pond 27,465.90,498.30,56.20,56.90,4.92,0.24,495.40,322.00,0.47,0.00,21.88,na,na,
4/16/2024,6:00:00,Pond 27,465.20,498.60,55.80,56.40,4.89,0.24,495.60,322.00,0.61,0.00,21.79,na,na,
4/16/2024,7:00:00,Pond 27,464.60,498.90,54.50,55.20,4.79,0.24,495.80,322.00,0.74,0.00,21.70,na,na,
4/16/2024,8:00:00,Pond 27,464.10,499.10,51.20,51.70,4.50,0.24,496.00,322.00,0.81,0.00,21.63,na,na,
4/16/2024,9:00:00,Pond 27,463.20,498.50,51.80,52.40,4.56,0.24,495.40,322.00,0.90,0.00,21.60,na,na,
4/16/2024,10:00:00,Pond 27,464.10,499.20,49.00,49.50,4.31,0.24,496.10,322.00,2.76,0.00,21.63,na,na,
4/16/2024,11:00:00,Pond 27,465.80,499.50,50.00,50.60,4.38,0.24,496.50,323.00,0.85,0.00,21.77,na,na,
4/16/2024,12:00:00,Pond 27,469.30,499.50,50.40,51.00,4.40,0.24,496.80,323.00,0.60,0.00,22.10,na,na,
4/16/2024,13:00:00,Pond 27,473.10,499.80,55.40,56.00,4.80,0.24,497.40,323.00,0.62,0.00,22.44,na,na,
4/16/2024,14:00:00,Pond 27,477.90,499.50,76.60,77.40,6.57,0.24,497.60,323.00,0.59,0.00,22.93,na,na,
4/16/2024,15:00:00,Pond 27,481.30,498.10,88.50,89.50,7.52,0.24,496.50,323.00,0.29,0.00,23.39,na,na,
4/16/2024,16:00:00,Pond 27,484.50,497.30,104.70,105.90,8.84,0.24,496.10,322.00,0.51,0.00,23.78,na,na,
4/16/2024,17:00:00,Pond 27,487.70,497.20,105.00,106.20,8.82,0.24,496.40,323.00,0.37,0.00,24.09,na,na,
4/16/2024,18:00:00,Pond 27,489.60,497.20,105.80,107.00,8.85,0.24,496.50,323.00,0.26,0.00,24.27,na,na,
4/16/2024,19:00:00,Pond 27,490.20,497.20,105.40,106.60,8.80,0.24,496.50,323.00,0.36,0.00,24.33,na,na,
4/16/2024,20:00:00,Pond 27,491.00,497.60,97.80,98.90,8.16,0.24,496.90,323.00,0.21,0.00,24.37,na,na,
4/16/2024,21:00:00,Pond 27,491.50,497.90,90.70,91.70,7.57,0.24,497.30,323.00,0.16,0.00,24.39,na,na,
4/16/2024,22:00:00,Pond 27,491.90,498.00,87.20,88.20,7.28,0.24,497.50,323.00,0.29,0.00,24.41,na,na,
4/16/2024,23:00:00,Pond 27,492.60,498.40,83.80,84.70,6.98,0.24,497.90,324.00,0.24,0.00,24.45,na,na,
4/17/2024,0:00:00,Pond 27,492.90,498.30,82.00,82.90,6.83,0.24,497.80,324.00,0.16,0.00,24.48,na,na,
4/17/2024,1:00:00,Pond 27,493.10,498.60,79.60,80.50,6.63,0.24,498.10,324.00,0.62,0.00,24.47,na,na,
4/17/2024,2:00:00,Pond 27,494.70,499.90,75.30,76.20,6.27,0.24,499.40,325.00,0.14,0.00,24.51,na,na,
4/17/2024,3:00:00,Pond 27,494.60,499.80,74.50,75.30,6.20,0.24,499.30,325.00,0.23,0.00,24.50,na,na,
4/17/2024,4:00:00,Pond 27,494.80,500.60,70.80,71.60,5.90,0.24,500.10,325.00,0.25,0.00,24.45,na,na,
4/17/2024,5:00:00,Pond 27,495.20,500.80,74.90,75.70,6.24,0.24,500.30,325.00,0.21,0.00,24.46,na,na,
4/17/2024,6:00:00,Pond 27,494.30,500.60,78.30,79.20,6.53,0.24,500.00,325.00,0.22,0.00,24.40,na,na,
4/17/2024,7:00:00,Pond 27,493.70,500.90,74.80,75.70,6.26,0.24,500.30,325.00,0.41,0.00,24.31,na,na,
4/17/2024,8:00:00,Pond 27,492.90,501.40,70.40,71.20,5.89,0.24,500.60,325.00,0.23,0.00,24.19,na,na,
4/17/2024,9:00:00,Pond 27,492.80,502.00,62.70,63.50,5.26,0.24,501.10,326.00,0.40,0.00,24.13,na,na,
4/17/2024,10:00:00,Pond 27,493.30,501.80,62.40,63.10,5.22,0.24,501.00,326.00,0.56,0.00,24.19,na,na,
4/17/2024,11:00:00,Pond 27,494.70,501.40,64.60,65.40,5.40,0.24,500.80,325.00,0.52,0.00,24.37,na,na,
4/17/2024,12:00:00,Pond 27,497.20,501.90,63.00,63.70,5.24,0.24,501.40,326.00,0.41,0.00,24.55,na,na,
4/17/2024,13:00:00,Pond 27,499.50,501.40,72.90,73.70,6.03,0.24,501.30,326.00,0.22,0.00,24.81,na,na,
4/17/2024,14:00:00,Pond 27,503.10,501.70,83.20,84.10,6.85,0.24,501.80,326.00,0.24,0.00,25.14,na,na,
4/17/2024,15:00:00,Pond 27,504.90,501.70,85.60,86.50,7.02,0.24,502.00,326.00,0.40,0.00,25.31,na,na,
4/17/2024,16:00:00,Pond 27,508.30,501.90,88.70,89.70,7.24,0.24,502.50,327.00,0.52,0.00,25.60,na,na,
4/17/2024,17:00:00,Pond 27,509.50,501.40,93.90,95.00,7.64,0.24,502.20,326.00,0.23,0.00,25.77,na,na,
4/17/2024,18:00:00,Pond 27,511.70,502.00,82.90,83.80,6.73,0.24,502.90,327.00,0.30,0.00,25.91,na,na,
4/17/2024,19:00:00,Pond 27,512.90,502.10,87.20,88.20,7.06,0.24,503.10,327.00,0.26,0.00,26.02,na,na,
4/17/2024,20:00:00,Pond 27,514.00,502.10,90.90,91.90,7.35,0.24,503.30,327.00,0.32,0.00,26.12,na,na,
4/17/2024,21:00:00,Pond 27,512.60,501.70,77.40,78.30,6.27,0.24,502.70,327.00,0.38,0.00,26.03,na,na,
4/17/2024,22:00:00,Pond 27,514.60,502.40,74.50,75.30,6.02,0.24,503.50,327.00,0.33,0.00,26.16,na,na,
4/17/2024,23:00:00,Pond 27,514.20,502.90,71.00,71.80,5.75,0.24,504.00,328.00,0.18,0.00,26.06,na,na,
4/18/2024,0:00:00,Pond 27,512.60,503.10,81.60,82.60,6.63,0.24,504.00,328.00,0.28,0.00,25.89,na,na,
4/18/2024,1:00:00,Pond 27,512.90,502.70,89.40,90.40,7.25,0.24,503.70,327.00,0.28,0.00,25.96,na,na,
4/18/2024,2:00:00,Pond 27,511.40,503.30,85.00,86.00,6.92,0.24,504.10,328.00,0.33,0.00,25.77,na,na,
4/18/2024,3:00:00,Pond 27,509.30,503.40,82.70,83.60,6.76,0.24,503.90,328.00,0.29,0.00,25.56,na,na,
4/18/2024,4:00:00,Pond 27,507.20,503.90,78.30,79.20,6.43,0.24,504.20,328.00,0.58,0.00,25.32,na,na,
4/18/2024,5:00:00,Pond 27,505.20,504.50,72.40,73.20,5.97,0.24,504.50,328.00,0.24,0.00,25.07,na,na,
4/18/2024,6:00:00,Pond 27,503.30,504.90,67.00,67.80,5.55,0.24,504.80,328.00,0.37,0.00,24.85,na,na,
4/18/2024,7:00:00,Pond 27,501.60,505.60,61.10,61.80,5.08,0.24,505.30,328.00,0.41,0.00,24.62,na,na,
4/18/2024,8:00:00,Pond 27,500.30,505.80,57.60,58.20,4.80,0.24,505.30,328.00,0.34,0.00,24.48,na,na,
4/18/2024,9:00:00,Pond 27,499.40,505.70,55.40,56.10,4.62,0.24,505.10,328.00,0.45,0.00,24.41,na,na,
4/18/2024,10:00:00,Pond 27,500.20,506.20,48.50,49.10,4.05,0.24,505.70,329.00,0.34,0.00,24.43,na,na,
4/18/2024,11:00:00,Pond 27,502.40,507.00,45.40,45.90,3.78,0.24,506.60,329.00,0.48,0.00,24.57,na,na,
4/18/2024,12:00:00,Pond 27,504.80,506.90,49.70,50.20,4.11,0.24,506.70,329.00,0.70,0.00,24.81,na,na,
4/18/2024,13:00:00,Pond 27,506.10,506.70,44.90,45.50,3.71,0.24,506.60,329.00,0.36,0.00,24.94,na,na,
4/18/2024,14:00:00,Pond 27,509.50,506.30,52.60,53.20,4.32,0.24,506.60,329.00,0.41,0.00,25.30,na,na,
4/18/2024,15:00:00,Pond 27,512.30,506.10,62.70,63.40,5.12,0.24,506.70,329.00,0.32,0.00,25.57,na,na,
4/18/2024,16:00:00,Pond 27,514.60,506.00,65.20,66.00,5.31,0.24,506.80,329.00,0.31,0.00,25.81,na,na,
4/18/2024,17:00:00,Pond 27,517.40,506.00,64.60,65.30,5.23,0.24,507.10,330.00,0.31,0.00,26.07,na,na,
4/18/2024,18:00:00,Pond 27,519.30,506.00,65.10,65.90,5.25,0.24,507.30,330.00,0.34,0.00,26.24,na,na,
4/18/2024,19:00:00,Pond 27,523.10,506.00,81.80,82.70,6.55,0.24,507.60,330.00,0.51,0.00,26.60,na,na,
4/18/2024,20:00:00,Pond 27,502.50,485.60,74.20,75.10,5.95,0.23,487.20,317.00,0.43,0.00,26.64,na,na,
4/18/2024,21:00:00,Pond 27,528.60,507.60,90.50,91.60,7.21,0.24,509.60,331.00,0.38,0.00,26.95,na,na,
4/18/2024,22:00:00,Pond 27,521.20,508.60,82.70,83.60,6.68,0.24,509.80,331.00,0.37,0.00,26.17,na,na,
4/18/2024,23:00:00,Pond 27,514.30,509.20,74.20,75.00,6.07,0.24,509.70,331.00,0.44,0.00,25.47,na,na,
4/19/2024,0:00:00,Pond 27,508.00,509.80,69.30,70.10,5.74,0.24,509.70,331.00,0.36,0.00,24.83,na,na,
4/19/2024,1:00:00,Pond 27,501.80,510.40,65.60,66.30,5.49,0.25,509.60,331.00,0.50,0.00,24.20,na,na,
4/19/2024,2:00:00,Pond 27,496.00,510.70,61.50,62.20,5.21,0.25,509.40,331.00,0.52,0.00,23.62,na,na,
4/19/2024,3:00:00,Pond 27,490.80,511.10,58.20,58.80,4.97,0.25,509.30,331.00,0.56,0.00,23.10,na,na,
4/19/2024,4:00:00,Pond 27,486.40,511.50,55.50,56.20,4.79,0.25,509.20,331.00,0.51,0.00,22.65,na,na,
4/19/2024,5:00:00,Pond 27,481.80,511.80,53.70,54.30,4.67,0.25,509.10,331.00,0.64,0.00,22.20,na,na,
4/19/2024,6:00:00,Pond 27,477.00,512.00,52.30,52.90,4.59,0.25,508.90,331.00,0.58,0.00,21.71,na,na,
4/19/2024,7:00:00,Pond 27,473.30,512.70,50.70,51.30,4.49,0.25,509.30,331.00,0.63,0.00,21.30,na,na,
4/19/2024,8:00:00,Pond 27,469.50,512.70,48.10,48.60,4.29,0.25,508.90,331.00,0.51,0.00,20.94,na,na,
4/19/2024,9:00:00,Pond 27,467.60,512.90,48.80,49.30,4.36,0.25,509.00,331.00,0.87,0.00,20.75,na,na,
4/19/2024,10:00:00,Pond 27,466.30,513.00,50.20,50.80,4.51,0.25,509.00,331.00,0.61,0.00,20.61,na,na,
4/19/2024,11:00:00,Pond 27,466.70,513.10,51.30,51.90,4.60,0.25,509.10,331.00,0.53,0.00,20.64,na,na,
4/19/2024,12:00:00,Pond 27,467.00,513.30,52.10,52.70,4.67,0.25,509.30,331.00,0.55,0.00,20.65,na,na,
4/19/2024,13:00:00,Pond 27,467.70,513.30,54.70,55.30,4.89,0.25,509.40,331.00,0.53,0.00,20.71,na,na,
4/19/2024,14:00:00,Pond 27,463.60,508.80,78.20,79.10,7.00,0.24,504.90,328.00,7.71,0.00,20.72,na,na,
4/19/2024,15:00:00,Pond 27,465.60,507.30,85.40,86.40,7.60,0.24,503.70,327.00,6.67,0.00,21.05,na,na,
4/19/2024,16:00:00,Pond 27,470.40,507.80,86.90,87.90,7.66,0.24,504.50,328.00,5.61,0.00,21.46,na,na,
4/19/2024,17:00:00,Pond 27,472.80,507.80,88.20,89.20,7.75,0.24,504.70,328.00,5.40,0.00,21.69,na,na,
4/19/2024,18:00:00,Pond 27,475.20,507.80,93.80,94.90,8.20,0.24,504.90,328.00,3.87,0.00,21.92,na,na,
4/19/2024,19:00:00,Pond 27,476.30,507.90,89.00,90.10,7.77,0.24,505.10,328.00,5.31,0.00,22.02,na,na,
4/19/2024,20:00:00,Pond 27,487.30,513.30,86.10,87.10,7.44,0.25,511.00,332.00,0.85,0.00,22.57,na,na,
4/19/2024,21:00:00,Pond 27,482.90,513.60,83.30,84.30,7.26,0.25,510.90,332.00,1.07,0.00,22.13,na,na,
4/19/2024,22:00:00,Pond 27,478.60,513.60,78.90,79.80,6.92,0.25,510.50,332.00,1.26,0.00,21.73,na,na,
4/19/2024,23:00:00,Pond 27,475.80,513.90,74.50,75.40,6.58,0.25,510.50,332.00,1.21,0.00,21.44,na,na,
